date,wla,global_lei,global_lei_8m,pct_g20_rising,cb_net_cutters,usmlei
1992-03-31,14.923268770699906,99.39181,0.253382650015439,60.0,9.999999999999998,16.947298634712197
1992-04-30,10.643571791337926,99.38847,0.15693428630206085,53.333333333333336,0.0,21.172998463663017
1992-05-31,10.145525299797173,99.34207,0.005206772201177046,46.666666666666664,-6.25,22.630546386733
1992-06-30,8.068110946246232,99.24713,-0.20599335974881683,40.0,0.0,17.506427613111285
1992-07-31,3.2654268757779588,99.11706,-0.4466382474408732,26.666666666666668,-6.25,17.825019211130222
1992-08-31,6.919418105449007,98.97912,-0.6658987604474191,26.666666666666668,-6.25,22.508380151601106
1992-09-30,6.399851255738298,98.86787,-0.8069589454197512,40.0,0.0,22.92581710341547
1992-10-31,10.841564045811838,98.79961,-0.8509414823195414,46.666666666666664,12.5,26.508251063111942
1992-11-30,19.182514071251077,98.77473,-0.8080089211075432,46.666666666666664,18.75,32.24775610466041
1992-12-31,19.6345662044451,98.7816,-0.7074256491955282,60.0,25.0,35.90134791773158
1993-01-31,17.625607422668548,98.79871,-0.5914722070542524,73.33333333333333,31.25,36.76098034318091
1993-02-28,17.40804768394017,98.81875,-0.4703997156726416,66.66666666666666,27.77777777777778,35.10791250831836
1993-03-31,16.51831290588047,98.83302,-0.35869347384172556,73.33333333333333,27.77777777777778,29.00630173289242
1993-04-30,15.47303685421235,98.84811,-0.2440208122475127,60.0,22.22222222222222,28.59408566101654
1993-05-31,16.04101059182604,98.87052,-0.11839026545982279,60.0,28.947368421052634,29.117070131145194
1993-06-30,18.79742088684574,98.9151,0.038112243678114055,66.66666666666666,34.210526315789465,30.979391484941917
1993-07-31,16.638660994394925,98.99774,0.24423754875226678,73.33333333333333,18.42105263157895,30.583139264893937
1993-08-31,24.88789589267105,99.12206,0.4954231899855017,80.0,25.0,31.85293495162213
1993-09-30,23.974481931982385,99.28141,0.7714688875215359,86.66666666666667,15.000000000000002,35.50107291837025
1993-10-31,25.163410002913484,99.47203,1.0639109854363937,86.66666666666667,25.0,34.19727671655106
1993-11-30,20.47488371710087,99.6795,1.3473745953107823,93.33333333333333,15.000000000000002,34.22295348331568
1993-12-31,22.528545300900834,99.8926,1.604772212687493,93.33333333333333,19.999999999999996,33.89275921867482
1994-01-31,18.529252119922894,100.0941,1.807693085839702,87.5,9.999999999999998,33.74449085282442
1994-02-28,17.836056368555514,100.2681,1.9296447199626812,87.5,0.0,32.78217349234348
1994-03-31,17.209097444241806,100.4198,1.9852557117581568,81.25,0.0,34.8113034593992
1994-04-30,15.56963280066817,100.5468,1.9728095497833635,70.58823529411765,19.999999999999996,33.73794599384454
1994-05-31,13.569432784260643,100.6536,1.9050190145879498,64.70588235294117,15.000000000000002,32.51239941859772
1994-06-30,12.583974599524279,100.7534,1.811131709117035,76.47058823529412,15.000000000000002,31.978168629920805
