date,spx_yoy
2016-11-19,4.438604035880722
2016-11-26,5.896339613724466
2016-12-03,4.793253903502537
2016-12-10,12.28203733803408
2016-12-17,12.59106047634171
2016-12-24,9.839933710937764
2016-12-31,9.535022667283656
2017-01-07,18.467450859845535
2017-01-14,20.97025233543477
2017-01-21,19.110075489755186
2017-01-28,18.268356128927053
2017-02-04,22.199934161701208
2017-02-11,24.202322057768267
2017-02-18,22.597997486259793
2017-02-25,21.523576322627314
2017-03-04,19.15660222420548
2017-03-11,17.328251371200153
2017-03-18,16.03596392172557
2017-03-25,15.130114243435532
2017-04-01,13.987974474291075
2017-04-08,15.039073410246683
2017-04-15,11.929465766009951
2017-04-22,12.292613893690184
2017-04-29,15.440850956484375
2017-05-06,16.63232275640589
2017-05-13,16.822448803456137
2017-05-20,16.05061107124024
2017-05-27,15.090564391846705
2017-06-03,16.194337869718154
2017-06-10,16.015683647189928
2017-06-17,17.474239180774177
2017-06-24,19.676452354856778
2017-07-01,15.2385919008164
2017-07-08,13.863563680713241
2017-07-15,13.763451230997337
2017-07-22,13.678432286371756
2017-07-29,13.732976931767094
2017-08-05,13.46667209482213
2017-08-12,11.779492858659113
2017-08-19,11.066589067662713
2017-08-26,12.632777857067934
2017-09-02,13.604256507695322
2017-09-09,15.679025094343313
2017-09-16,16.879059219248948
2017-09-23,15.592534655453004
2017-09-30,16.1921755467765
2017-10-07,18.36758799503815
2017-10-14,19.699666441028096
2017-10-21,20.271724982956464
2017-10-28,21.381585632235044
2017-11-04,24.106320448543062
2017-11-11,19.305140201094417
2017-11-18,18.192869200191296
2017-11-25,17.578322771022158
2017-12-02,20.54198451431446
2017-12-09,17.347411436045345
2017-12-16,18.49986836493025
2017-12-23,18.53308131887852
2017-12-30,19.419965523287928
2018-01-06,20.47316734770026
2018-01-13,22.491476533298282
2018-01-20,23.730357209269926
2018-01-27,25.196440065751325
2018-02-03,20.227471543740894
2018-02-10,13.101763238944098
2018-02-17,16.207322038417903
2018-02-24,16.05007928016191
2018-03-03,12.929683258103974
2018-03-10,17.447945446519242
2018-03-17,15.715757795253872
2018-03-24,10.4215919646218
2018-03-31,11.772455048983232
2018-04-07,10.567849729257773
2018-04-14,14.055694820386112
2018-04-21,13.686351080441494
2018-04-28,11.983473147756275
2018-05-05,11.008668335725936
2018-05-12,14.087585516616441
2018-05-19,13.907537502180812
2018-05-26,12.646223688881841
2018-06-02,12.117325068357921
2018-06-09,14.28013368766521
2018-06-16,14.2412109271133
2018-06-23,12.983629071267377
2018-06-30,12.171288216832732
2018-07-07,13.798569432016006
2018-07-14,13.908193746357899
2018-07-21,13.317885003284125
2018-07-28,14.025320861070444
2018-08-04,14.676825137977989
2018-08-11,16.055246750210284
2018-08-18,17.50447632237091
2018-08-25,17.66807408571809
2018-09-01,17.1597570137626
2018-09-08,16.667141108768213
2018-09-15,16.18851078348067
2018-09-22,17.08282869518307
2018-09-29,15.663496134766518
2018-10-06,13.189347002161256
2018-10-13,8.380169259567793
2018-10-20,7.477839526889296
2018-10-27,3.0072749282708644
2018-11-03,5.225205812981448
2018-11-10,7.695076373006171
2018-11-17,6.104268023103354
2018-11-24,1.1581580845352102
2018-12-01,4.464047372274127
